name,parent,value
Origin,,
"3477,3484,3500,3507",Origin,3
"4959,4966,9424,9431",Origin,3
"18071,18077,18105,18111",Origin,3
"23991,23997,24004,24010,24017,24023",Origin,12
"21175,21183,21242,21250",Origin,3
"18634,18643,18657,18666",Origin,3
"21983,21989,22026,22032",Origin,3
"20511,20523,20538,20550",Origin,3
"14807,14814,23438,23445",Origin,3
"8565,8572,9289,9296,19757,19764",Origin,12
"15597,15629,17808,17840",Origin,3
"11398,11404,13190,13196",Origin,3
"4215,4228,4247,4260",Origin,3
"15394,15401,19738,19745",Origin,3
"3987,3998,4189,4200",Origin,3
"19233,19240,19264,19271",Origin,3
"16560,16567,16614,16621",Origin,3
"5936,5943,9878,9885",Origin,3
"2509,2515,9959,9965",Origin,3
"18933,18948,23365,23380",Origin,3
"17985,17995,18010,18020,18032,18042",Origin,12
"4203,4212,4231,4240",Origin,3
"11932,11939,11968,11975,11983,11990,15278,15285",Origin,15
"15975,15981,17362,17368",Origin,3
"21195,21201,21261,21267",Origin,3
"21129,21138,21143,21152",Origin,3
"14229,14244,14251,14266",Origin,3
"11264,11273,11297,11306,11325,11334",Origin,12
"8096,8102,8158,8164",Origin,3
"18509,18520,18526,18537",Origin,3
"18800,18814,23178,23192",Origin,3
"5075,5082,8705,8712",Origin,3
"10922,10929,10939,10946",Origin,3
"14088,14094,18677,18683",Origin,3
"2590,2596,10090,10096",Origin,3
"1386,1396,22381,22391",Origin,3
"7689,7697,7750,7758,7810,7818,7870,7878",Origin,15
"2579,2587,2597,2605",Origin,3
"2557,2563,10057,10063",Origin,3
"13636,13656,13671,13691",Origin,3
"2627,2634,10127,10134",Origin,3
"2608,2615,10108,10115",Origin,3
"2666,2673,10246,10253",Origin,3
"2647,2654,10147,10154",Origin,3
"5353,5359,5371,5377",Origin,3
"18722,18730,18757,18765",Origin,3
"23317,23327,23336,23346",Origin,3
"9048,9054,9058,9064",Origin,3
"19617,19629,21634,21646",Origin,3
"7796,7805,7856,7865,7916,7925",Origin,12
"17613,17633,17654,17674",Origin,3
"5747,5776,10713,10742",Origin,3
"3412,3421,3445,3454",Origin,3
"22651,22657,23169,23175",Origin,3
"5782,5788,11544,11550",Origin,3
"10955,10964,21854,21863",Origin,3
"17552,17558,17589,17595",Origin,3
"5346,5352,5364,5370",Origin,3
"15630,15639,17848,17857",Origin,3
"9394,9400,9404,9410",Origin,3
"3689,3695,4447,4453,8938,8944",Origin,12
"14616,14632,14639,14655",Origin,3
"11436,11451,13222,13237",Origin,3
"6808,6824,23223,23239",Origin,3
"5113,5119,5298,5304",Origin,3
"1373,1379,22361,22367",Origin,3
"13785,13792,20377,20384",Origin,3
"6233,6239,6267,6273",Origin,3
"11274,11283,11307,11316",Origin,3
"8786,8794,8822,8830",Origin,3
"3178,3188,3233,3243",Origin,3
"7819,7831,7879,7891",Origin,3
"13629,13635,13664,13670",Origin,3
"3856,3869,3952,3965",Origin,3
"10877,10883,21780,21786",Origin,3
"5904,5923,8532,8551",Origin,3
"6112,6120,6397,6405",Origin,3
"19158,19166,19185,19193,19211,19219,19241,19249",Origin,16
"9562,9572,9598,9608",Origin,3
"1044,1054,15413,15423",Origin,3
"14330,14343,14397,14410",Origin,3
"5924,5933,8552,8561",Origin,3
"11459,11465,13242,13248,21873,21879",Origin,12
"5134,5143,5176,5185",Origin,3
"8303,8309,9908,9914",Origin,3
"2637,2644,10137,10144",Origin,3
"10210,10216,13512,13518",Origin,3
"21328,21335,21376,21383",Origin,3
"13969,13977,13984,13992",Origin,3
"2548,2554,2618,2624,2657,2663,10118,10124,10225,10231",Origin,20
"12084,12091,20727,20734",Origin,3
"5123,5133,5144,5154",Origin,3
"5168,5175,5189,5196,5256,5263",Origin,12
"9492,9499,9546,9553",Origin,3
"2572,2578,10072,10078",Origin,3
