name,parent,value
Origin,,
"3477,3484,3500,3507",Origin,4
"4959,4966,9424,9431",Origin,4
"18071,18077,18105,18111",Origin,4
"23991,23997,24004,24010,24017,24023",Origin,6
"21175,21183,21242,21250",Origin,4
"18634,18643,18657,18666",Origin,4
"21983,21989,22026,22032",Origin,4
"20511,20523,20538,20550",Origin,4
"14807,14814,23438,23445",Origin,4
"8565,8572,9289,9296,19757,19764",Origin,6
"15597,15629,17808,17840",Origin,4
"11398,11404,13190,13196",Origin,4
"4215,4228,4247,4260",Origin,4
"15394,15401,19738,19745",Origin,4
"3987,3998,4189,4200",Origin,4
"19233,19240,19264,19271",Origin,4
"16560,16567,16614,16621",Origin,4
"5936,5943,9878,9885",Origin,4
"2509,2515,9959,9965",Origin,4
"18933,18948,23365,23380",Origin,4
"17985,17995,18010,18020,18032,18042",Origin,6
"4203,4212,4231,4240",Origin,4
"11932,11939,11968,11975,11983,11990,15278,15285",Origin,8
"15975,15981,17362,17368",Origin,4
"21195,21201,21261,21267",Origin,4
"21129,21138,21143,21152",Origin,4
"14229,14244,14251,14266",Origin,4
"11264,11273,11297,11306,11325,11334",Origin,6
"8096,8102,8158,8164",Origin,4
"18509,18520,18526,18537",Origin,4
"18800,18814,23178,23192",Origin,4
"5075,5082,8705,8712",Origin,4
"10922,10929,10939,10946",Origin,4
"14088,14094,18677,18683",Origin,4
"2590,2596,10090,10096",Origin,4
"1386,1396,22381,22391",Origin,4
"7689,7697,7750,7758,7810,7818,7870,7878",Origin,8
"2579,2587,2597,2605",Origin,4
"2557,2563,10057,10063",Origin,4
"13636,13656,13671,13691",Origin,4
"2627,2634,10127,10134",Origin,4
"2608,2615,10108,10115",Origin,4
"2666,2673,10246,10253",Origin,4
"2647,2654,10147,10154",Origin,4
"5353,5359,5371,5377",Origin,4
"18722,18730,18757,18765",Origin,4
"23317,23327,23336,23346",Origin,4
"9048,9054,9058,9064",Origin,4
"19617,19629,21634,21646",Origin,4
"7796,7805,7856,7865,7916,7925",Origin,6
"17613,17633,17654,17674",Origin,4
"5747,5776,10713,10742",Origin,4
"3412,3421,3445,3454",Origin,4
"22651,22657,23169,23175",Origin,4
"5782,5788,11544,11550",Origin,4
"10955,10964,21854,21863",Origin,4
"17552,17558,17589,17595",Origin,4
"5346,5352,5364,5370",Origin,4
"15630,15639,17848,17857",Origin,4
"9394,9400,9404,9410",Origin,4
"3689,3695,4447,4453,8938,8944",Origin,6
"14616,14632,14639,14655",Origin,4
"11436,11451,13222,13237",Origin,4
"6808,6824,23223,23239",Origin,4
"5113,5119,5298,5304",Origin,4
"1373,1379,22361,22367",Origin,4
"13785,13792,20377,20384",Origin,4
"6233,6239,6267,6273",Origin,4
"11274,11283,11307,11316",Origin,4
"8786,8794,8822,8830",Origin,4
"3178,3188,3233,3243",Origin,4
"7819,7831,7879,7891",Origin,4
"13629,13635,13664,13670",Origin,4
"3856,3869,3952,3965",Origin,4
"10877,10883,21780,21786",Origin,4
"5904,5923,8532,8551",Origin,4
"6112,6120,6397,6405",Origin,4
"19158,19166,19185,19193,19211,19219,19241,19249",Origin,8
"9562,9572,9598,9608",Origin,4
"1044,1054,15413,15423",Origin,4
"14330,14343,14397,14410",Origin,4
"5924,5933,8552,8561",Origin,4
"11459,11465,13242,13248,21873,21879",Origin,6
"5134,5143,5176,5185",Origin,4
"8303,8309,9908,9914",Origin,4
"2637,2644,10137,10144",Origin,4
"10210,10216,13512,13518",Origin,4
"21328,21335,21376,21383",Origin,4
"13969,13977,13984,13992",Origin,4
"2548,2554,2618,2624,2657,2663,10118,10124,10225,10231",Origin,10
"12084,12091,20727,20734",Origin,4
"5123,5133,5144,5154",Origin,4
"5168,5175,5189,5196,5256,5263",Origin,6
"9492,9499,9546,9553",Origin,4
"2572,2578,10072,10078",Origin,4
